period,timestamp,it_load_kw,cooling_demand_kw,cooling_energy_kwh,cooling_electrical_power_kw,cooling_electrical_energy_kwh,cop,facility_power_kw,facility_energy_kwh,it_energy_kwh,pue
baseline,2026-02-19 23:00:00,657.03,692.03,173.008,255.05,63.762,2.7133,1026.65,256.661,164.258,1.5626
baseline,2026-02-19 23:15:00,719.89,754.89,188.722,226.38,56.594,3.3347,1063.66,265.914,179.972,1.4775
baseline,2026-02-19 23:30:00,663.06,698.06,174.516,236.66,59.166,2.9496,1014.57,253.641,165.766,1.5301
baseline,2026-02-19 23:45:00,638.59,673.59,168.397,242.93,60.732,2.7728,995.25,248.813,159.647,1.5585
baseline,2026-02-20 00:00:00,646.33,681.33,170.333,248.34,62.085,2.7435,1008.76,252.189,161.583,1.5607
baseline,2026-02-20 00:15:00,629.7,664.7,166.175,250.19,62.547,2.6568,993.22,248.306,157.425,1.5773
baseline,2026-02-20 00:30:00,629.54,664.54,166.134,230.16,57.539,2.8873,973.02,243.256,157.384,1.5456
baseline,2026-02-20 00:45:00,628.33,663.33,165.833,249.26,62.316,2.6612,990.87,247.718,157.083,1.577
baseline,2026-02-20 01:00:00,655.84,690.84,172.711,221.31,55.328,3.1216,991.67,247.917,163.961,1.512
baseline,2026-02-20 01:15:00,633.71,668.71,167.177,232.65,58.164,2.8742,979.88,244.97,158.427,1.5463
baseline,2026-02-20 01:30:00,627.46,662.46,165.615,246.3,61.574,2.6897,986.99,246.748,156.865,1.573
baseline,2026-02-20 01:45:00,609.03,644.03,161.007,246.36,61.591,2.6141,967.8,241.949,152.257,1.5891
baseline,2026-02-20 02:00:00,647.81,682.81,170.702,245.5,61.375,2.7813,1007.46,251.865,161.952,1.5552
baseline,2026-02-20 02:15:00,685.37,720.37,180.093,241.79,60.448,2.9793,1043.0,260.751,171.343,1.5218
baseline,2026-02-20 02:30:00,666.91,701.91,175.479,266.28,66.57,2.636,1048.21,262.052,166.729,1.5717
baseline,2026-02-20 02:45:00,635.4,670.4,167.599,262.67,65.667,2.5523,1011.66,252.914,158.849,1.5922
baseline,2026-02-20 03:00:00,682.08,717.08,179.269,240.58,60.144,2.9806,1038.35,259.587,170.519,1.5223
baseline,2026-02-20 03:15:00,655.4,690.4,172.6,241.03,60.258,2.8643,1010.93,252.732,163.85,1.5425
baseline,2026-02-20 03:30:00,633.34,668.34,167.086,223.12,55.781,2.9954,969.97,242.492,158.336,1.5315
baseline,2026-02-20 03:45:00,632.05,667.05,166.763,237.11,59.278,2.8132,982.61,245.652,158.013,1.5546
baseline,2026-02-20 04:00:00,664.62,699.62,174.905,270.16,67.54,2.5897,1049.69,262.423,166.155,1.5794
baseline,2026-02-20 04:15:00,662.64,697.64,174.411,244.87,61.217,2.8491,1022.33,255.583,165.661,1.5428
baseline,2026-02-20 04:30:00,677.9,712.9,178.224,266.16,66.541,2.6784,1059.57,264.891,169.474,1.563
baseline,2026-02-20 04:45:00,687.74,722.74,180.685,244.45,61.113,2.9566,1048.14,262.035,171.935,1.524
baseline,2026-02-20 05:00:00,651.17,686.17,171.543,235.32,58.829,2.916,1000.79,250.197,162.793,1.5369
baseline,2026-02-20 05:15:00,649.35,684.35,171.087,222.01,55.504,3.0824,985.58,246.395,162.337,1.5178
baseline,2026-02-20 05:30:00,670.94,705.94,176.484,249.15,62.287,2.8334,1035.28,258.82,167.734,1.543
baseline,2026-02-20 05:45:00,647.44,682.44,170.61,232.97,58.241,2.9294,994.54,248.635,161.86,1.5361
baseline,2026-02-20 06:00:00,662.28,697.28,174.319,245.88,,2.8359,1022.96,255.739,165.569,1.5446
baseline,2026-02-20 06:15:00,654.19,689.19,172.297,222.09,55.522,3.1032,990.71,247.678,163.547,1.5144
baseline,2026-02-20 06:30:00,683.17,718.17,179.543,252.49,63.122,2.8444,1051.4,262.85,170.793,1.539
baseline,2026-02-20 06:45:00,685.58,720.58,180.144,241.52,60.381,2.9835,1042.95,260.737,171.394,1.5213
baseline,2026-02-20 07:00:00,632.82,667.82,166.954,242.0,60.499,2.7596,988.29,247.072,158.204,1.5617
baseline,2026-02-20 07:15:00,650.65,685.65,171.412,237.95,59.488,2.8814,1002.88,250.72,162.662,1.5414
baseline,2026-02-20 07:30:00,676.19,711.19,177.798,239.87,59.969,2.9649,1031.5,257.874,169.048,1.5254
baseline,2026-02-20 07:45:00,688.13,723.13,180.782,253.68,63.421,2.8505,1057.78,264.445,172.032,1.5372
baseline,2026-02-20 08:00:00,707.78,742.78,185.695,262.93,65.733,2.825,1087.56,271.89,176.945,1.5366
baseline,2026-02-20 08:15:00,680.02,715.02,178.756,245.72,61.431,2.9099,1041.35,260.337,170.006,1.5313
baseline,2026-02-20 08:30:00,709.04,744.04,186.009,282.51,70.629,2.6336,1108.46,277.115,177.259,1.5633
baseline,2026-02-20 08:45:00,745.05,780.05,195.014,297.21,74.303,2.6246,1160.79,290.198,186.264,1.558
baseline,2026-02-20 09:00:00,733.31,768.31,192.078,276.91,69.226,2.7746,1128.22,282.055,183.328,1.5385
baseline,2026-02-20 09:15:00,702.16,737.16,184.289,274.27,68.568,2.6877,1093.03,273.257,175.539,1.5567
baseline,2026-02-20 09:30:00,719.0,754.0,188.5,261.22,65.304,2.8865,1097.57,274.392,179.75,1.5265
baseline,2026-02-20 09:45:00,701.83,736.83,184.208,299.65,74.913,2.4589,1118.07,279.517,175.458,1.5931
baseline,2026-02-20 10:00:00,734.28,769.28,192.32,291.67,72.917,2.6375,1143.99,285.998,183.57,1.558
baseline,2026-02-20 10:15:00,711.34,746.34,186.585,272.53,68.133,2.7385,1100.88,275.221,177.835,1.5476
baseline,2026-02-20 10:30:00,752.91,787.91,196.977,295.64,73.91,2.6651,1167.43,291.857,188.227,1.5506
baseline,2026-02-20 10:45:00,727.49,762.49,190.623,311.17,77.793,2.4504,1156.4,289.1,181.873,1.5896
baseline,2026-02-20 11:00:00,698.13,733.13,183.281,252.01,63.002,2.9091,1066.55,266.638,174.531,1.5277
baseline,2026-02-20 11:15:00,725.72,760.72,190.18,246.94,61.736,3.0805,1090.32,272.58,181.43,1.5024
baseline,2026-02-20 11:30:00,728.54,763.54,190.885,253.5,63.376,3.012,1099.83,274.957,182.135,1.5096
baseline,2026-02-20 11:45:00,728.07,,190.768,268.03,67.009,2.8469,1113.87,278.468,182.018,1.5299
baseline,2026-02-20 12:00:00,748.78,783.78,195.946,287.68,71.92,2.7245,1155.16,288.79,187.196,1.5427
baseline,2026-02-20 12:15:00,763.82,798.82,199.706,292.15,73.039,2.7343,1175.35,293.838,190.956,1.5388
baseline,2026-02-20 12:30:00,771.65,806.65,201.662,339.6,84.9,2.3753,1230.97,307.743,192.912,1.5952
baseline,2026-02-20 12:45:00,728.27,763.27,190.818,276.53,69.132,2.7602,1122.57,280.643,182.068,1.5414
baseline,2026-02-20 13:00:00,751.96,786.96,196.74,298.35,74.588,2.6377,1169.15,292.287,187.99,1.5548
baseline,2026-02-20 13:15:00,717.7,752.7,188.174,302.37,75.593,2.4893,1137.36,284.341,179.424,1.5847
baseline,2026-02-20 13:30:00,767.42,802.42,200.604,294.51,73.628,2.7246,1181.46,295.365,191.854,
baseline,2026-02-20 13:45:00,753.93,788.93,197.232,285.08,71.271,2.7673,1157.94,289.485,188.482,1.5359
baseline,2026-02-20 14:00:00,715.9,750.9,187.724,286.7,71.676,2.6191,1119.81,279.954,178.974,1.5642
baseline,2026-02-20 14:15:00,721.0,756.0,189.0,268.02,67.005,2.8207,1106.47,276.616,180.25,1.5346
baseline,2026-02-20 14:30:00,737.39,772.39,193.098,296.18,74.046,2.6078,1151.76,287.939,184.348,1.5619
baseline,2026-02-20 14:45:00,730.36,765.36,191.34,254.6,63.651,3.0061,1102.83,275.707,182.59,1.51
baseline,2026-02-20 15:00:00,736.69,771.69,192.923,308.85,77.212,2.4986,1163.69,290.923,184.173,1.5796
baseline,2026-02-20 15:15:00,757.84,792.84,198.211,274.97,68.744,2.8833,1151.92,287.98,189.461,1.52
baseline,2026-02-20 15:30:00,786.31,821.31,205.327,282.83,70.709,2.9038,1189.53,297.382,196.577,1.5128
baseline,2026-02-20 15:45:00,755.51,790.51,197.627,270.6,67.649,2.9213,1145.1,286.276,188.877,1.5157
baseline,2026-02-20 16:00:00,703.98,738.98,184.744,270.15,67.538,2.7354,1090.81,272.702,175.994,1.5495
baseline,2026-02-20 16:15:00,722.81,757.81,189.452,262.43,65.608,2.8876,1102.77,275.692,180.702,1.5257
baseline,2026-02-20 16:30:00,707.81,742.81,185.703,265.13,66.282,2.8017,1089.79,272.448,176.953,1.5397
baseline,2026-02-20 16:45:00,703.38,738.38,184.595,284.62,71.154,2.5943,1104.65,276.162,175.845,1.5705
baseline,2026-02-20 17:00:00,755.07,790.07,197.518,305.0,76.251,2.5904,1179.06,294.764,188.768,1.5615
baseline,2026-02-20 17:15:00,700.19,735.19,183.797,273.1,68.275,2.692,1089.8,272.449,175.047,1.5564
baseline,2026-02-20 17:30:00,726.68,761.68,190.42,269.3,67.326,2.8283,1113.68,278.421,181.67,1.5326
baseline,2026-02-20 17:45:00,763.16,798.16,199.54,273.49,68.372,2.9184,1155.99,288.997,190.79,1.5147
baseline,2026-02-20 18:00:00,754.97,789.97,197.493,281.93,70.484,2.802,1155.88,288.97,188.743,1.531
baseline,2026-02-20 18:15:00,697.54,732.54,183.136,281.87,70.467,2.5989,1095.8,273.95,174.386,1.5709
baseline,2026-02-20 18:30:00,735.49,770.49,192.623,263.07,65.768,2.9288,1116.66,279.165,183.873,1.5182
baseline,2026-02-20 18:45:00,735.7,770.7,192.674,302.65,75.663,2.5465,1156.45,289.114,183.924,1.5719
baseline,2026-02-20 19:00:00,740.19,775.19,193.799,256.01,64.004,3.0279,1114.52,278.629,185.049,1.5057
baseline,2026-02-20 19:15:00,691.17,726.17,181.543,257.11,64.277,2.8244,1064.38,266.095,172.793,1.54
baseline,2026-02-20 19:30:00,711.07,746.07,186.517,239.28,59.819,3.118,1067.34,266.835,177.767,1.501
baseline,2026-02-20 19:45:00,685.7,720.7,180.175,258.68,64.67,2.7861,1060.24,265.059,171.425,1.5462
baseline,2026-02-20 20:00:00,691.35,726.35,181.586,256.46,64.114,2.8322,1063.91,265.978,172.836,1.5389
baseline,2026-02-20 20:15:00,697.82,732.82,183.206,281.74,70.435,2.6011,1095.96,273.991,174.456,1.5705
baseline,2026-02-20 20:30:00,706.56,741.56,185.389,290.22,72.554,2.5552,1113.57,278.392,176.639,1.576
baseline,2026-02-20 20:45:00,702.42,737.42,184.356,253.71,63.428,2.9065,1072.74,268.186,175.606,1.5272
baseline,2026-02-20 21:00:00,669.41,704.41,176.104,271.44,67.861,2.5951,1055.98,263.995,167.354,1.5775
baseline,2026-02-20 21:15:00,672.76,707.76,176.94,242.56,60.64,2.9179,1030.6,257.649,168.19,1.5319
baseline,2026-02-20 21:30:00,647.13,682.13,170.532,239.17,59.793,2.852,1000.42,250.105,161.782,1.5459
baseline,2026-02-20 21:45:00,665.12,700.12,175.031,248.51,62.128,2.8173,1028.57,257.142,166.281,1.5464
baseline,2026-02-20 22:00:00,662.9,697.9,174.474,252.32,63.081,2.7659,1030.05,257.513,165.724,1.5539
baseline,2026-02-20 22:15:00,680.01,715.01,178.751,223.14,55.784,3.2044,1018.74,254.685,170.001,1.4981
baseline,2026-02-20 22:15:00,680.01,715.01,178.751,223.14,55.784,3.2044,1018.74,254.685,170.001,1.4981
baseline,2026-02-20 22:30:00,695.88,730.88,182.721,280.97,70.242,2.6013,1093.17,273.291,173.971,1.5709
baseline,2026-02-20 22:45:00,703.84,738.84,184.709,256.1,64.025,2.885,1076.61,269.152,175.959,1.5296
baseline,2026-02-20 23:00:00,622.94,657.94,164.484,252.88,63.221,2.6017,988.85,247.213,155.734,1.5874
baseline,2026-02-20 23:15:00,668.23,703.23,175.808,243.06,60.765,2.8933,1026.36,256.59,167.058,1.5359
baseline,2026-02-20 23:30:00,671.55,706.55,176.639,242.78,60.695,2.9103,1029.55,257.388,167.889,1.5331
baseline,2026-02-20 23:45:00,671.72,706.72,176.681,254.7,63.674,2.7748,1041.65,260.412,167.931,1.5507
baseline,2026-02-21 00:00:00,670.66,705.66,176.414,258.49,64.623,2.7299,1044.33,261.082,167.664,1.5572
baseline,2026-02-21 00:15:00,627.28,662.28,165.57,230.87,57.718,2.8686,971.38,242.845,156.82,1.5486
baseline,2026-02-21 00:30:00,630.29,665.29,166.323,222.2,55.55,2.9941,965.85,241.464,157.573,1.5324
baseline,2026-02-21 00:45:00,664.8,699.8,174.951,262.37,65.593,2.6672,1042.09,260.523,166.201,1.5675
baseline,2026-02-21 01:00:00,630.37,665.37,166.344,248.94,62.235,2.6728,992.68,248.171,157.594,1.5747
baseline,2026-02-21 01:15:00,618.38,653.38,163.344,230.7,57.674,2.8322,961.9,240.475,154.594,1.5555
baseline,2026-02-21 01:30:00,673.83,708.83,177.209,267.19,66.799,2.6529,1056.35,264.088,168.459,1.5677
baseline,2026-02-21 01:45:00,650.19,685.19,171.298,245.39,61.347,2.7923,1009.84,252.46,162.548,1.5531
baseline,2026-02-21 02:00:00,633.03,668.03,167.007,232.18,58.044,2.8772,978.69,244.673,158.257,1.546
baseline,2026-02-21 02:15:00,615.49,650.49,162.624,237.87,59.467,2.7347,966.06,241.515,153.874,1.5696
baseline,2026-02-21 02:30:00,659.31,694.31,173.578,232.85,58.212,2.9818,1006.83,251.707,164.828,1.5271
baseline,2026-02-21 02:45:00,666.37,701.37,175.342,264.65,66.162,2.6502,1046.0,261.501,166.592,1.5697
baseline,2026-02-21 03:00:00,639.38,674.38,168.596,245.36,61.34,2.7485,998.52,249.629,159.846,1.5617
baseline,2026-02-21 03:15:00,649.86,684.86,171.216,275.49,68.872,2.486,1039.6,259.899,162.466,1.5997
baseline,2026-02-21 03:30:00,632.31,667.31,166.826,222.82,55.705,2.9948,968.58,242.145,158.076,1.5318
baseline,2026-02-21 03:45:00,706.31,741.31,185.327,274.54,68.636,2.7002,1097.64,274.409,176.577,1.554
baseline,2026-02-21 04:00:00,630.46,665.46,166.366,230.24,57.56,2.8903,974.08,243.519,157.616,1.545
baseline,2026-02-21 04:15:00,647.98,682.98,170.746,251.92,62.979,2.7112,1014.06,253.515,161.996,1.5649
baseline,2026-02-21 04:30:00,646.08,681.08,170.27,221.76,55.44,3.0712,981.92,245.479,161.52,1.5198
baseline,2026-02-21 04:45:00,639.1,674.1,168.524,251.27,62.817,2.6828,1004.13,251.031,159.774,1.5712
baseline,2026-02-21 05:00:00,650.39,685.39,171.348,241.26,60.315,2.8409,1005.92,251.48,162.598,1.5466
baseline,2026-02-21 05:15:00,632.1,667.1,166.776,229.26,57.314,2.9099,974.8,243.701,158.026,1.5422
baseline,2026-02-21 05:30:00,671.67,706.67,176.668,237.06,59.264,2.981,1023.95,255.989,167.918,1.5245
baseline,2026-02-21 05:45:00,684.39,719.39,179.847,261.3,65.326,2.7531,1061.49,265.372,171.097,1.551
baseline,2026-02-21 06:00:00,692.59,727.59,181.897,289.81,72.452,2.5106,1098.56,274.641,173.147,1.5862
baseline,2026-02-21 06:15:00,636.0,671.0,167.749,233.77,58.443,2.8703,983.39,245.847,158.999,1.5462
baseline,2026-02-21 06:30:00,653.68,688.68,172.171,240.6,60.15,2.8623,1008.7,252.175,163.421,1.5431
baseline,2026-02-21 06:45:00,676.06,711.06,177.765,275.04,68.761,2.5853,1066.53,266.631,169.015,1.5776
baseline,2026-02-21 07:00:00,692.0,727.0,181.75,253.8,63.449,2.8645,1061.94,265.484,173.0,1.5346
baseline,2026-02-21 07:15:00,721.45,756.45,189.113,260.43,65.107,2.9047,1099.34,274.836,180.363,1.5238
baseline,2026-02-21 07:30:00,658.45,693.45,173.363,264.02,66.006,2.6265,1037.11,259.276,164.613,1.5751
baseline,2026-02-21 07:45:00,654.67,689.67,172.418,237.14,59.286,2.9083,1006.27,251.569,163.668,1.5371
baseline,2026-02-21 08:00:00,719.47,754.47,188.617,278.27,69.566,2.7113,1115.11,278.777,179.867,1.5499
baseline,2026-02-21 08:15:00,689.89,724.89,181.223,279.15,69.788,2.5968,1085.09,271.273,172.473,1.5728
baseline,2026-02-21 08:30:00,720.71,755.71,188.927,261.88,65.471,2.8857,1100.02,275.005,180.177,1.5263
baseline,2026-02-21 08:45:00,688.16,723.16,180.791,249.01,62.253,2.9042,1053.14,263.286,172.041,1.5304
baseline,2026-02-21 09:00:00,720.36,755.36,188.84,268.97,67.243,2.8083,1106.75,276.687,180.09,1.5364
baseline,2026-02-21 09:15:00,718.87,753.87,188.467,277.6,69.4,2.7157,1113.81,278.454,179.717,1.5494
baseline,2026-02-21 09:30:00,682.11,717.11,179.278,277.07,69.266,2.5882,1074.87,268.718,170.528,1.5758
baseline,2026-02-21 09:45:00,710.5,745.5,186.375,281.62,70.404,2.6472,1109.09,277.272,177.625,1.561
baseline,2026-02-21 10:00:00,671.04,706.04,176.51,252.33,63.082,2.7981,1038.57,259.641,167.76,1.5477
baseline,2026-02-21 10:15:00,717.8,752.8,188.2,236.28,59.069,3.1861,1071.38,267.845,179.45,1.4926
baseline,2026-02-21 10:30:00,770.33,805.33,201.332,285.47,71.367,2.8211,1175.46,293.866,192.582,1.5259
baseline,2026-02-21 10:45:00,724.11,759.11,189.777,277.63,69.409,2.7342,1119.33,279.832,181.027,1.5458
baseline,2026-02-21 11:00:00,688.65,723.65,180.912,267.55,66.888,2.7047,1072.19,268.047,172.162,1.5569
baseline,2026-02-21 11:15:00,746.58,781.58,195.394,328.38,82.096,2.3801,1193.56,298.389,186.644,1.5987
baseline,2026-02-21 11:30:00,728.97,763.97,190.993,266.54,66.636,2.8662,1113.32,278.33,182.243,1.5272
baseline,2026-02-21 11:45:00,761.67,796.67,199.167,313.3,78.324,2.5428,1194.24,298.56,190.417,1.5679
baseline,2026-02-21 12:00:00,716.32,751.32,187.83,271.11,67.777,2.7713,1104.66,276.165,179.08,1.5421
baseline,2026-02-21 12:15:00,752.1,787.1,196.775,278.0,69.5,2.8313,1148.94,287.236,188.025,1.5276
baseline,2026-02-21 12:30:00,796.86,831.86,207.965,291.02,72.755,2.8584,1208.74,302.185,199.215,1.5169
baseline,2026-02-21 12:45:00,714.33,749.33,187.333,283.31,70.828,2.6449,1114.79,278.698,178.583,1.5606
baseline,2026-02-21 13:00:00,760.92,795.92,198.979,291.05,72.762,2.7346,1171.21,292.801,190.229,1.5392
baseline,2026-02-21 13:15:00,737.95,772.95,193.238,248.39,62.097,3.1119,1104.55,276.137,184.488,1.4968
baseline,2026-02-21 13:30:00,745.04,780.04,195.009,278.06,69.515,2.8053,1141.62,285.406,186.259,1.5323
baseline,2026-02-21 13:45:00,712.12,747.12,186.781,239.35,59.837,3.1215,1068.52,267.129,178.031,1.5005
baseline,2026-02-21 14:00:00,769.61,804.61,201.152,298.88,74.721,2.692,1188.12,297.031,192.402,1.5438
baseline,2026-02-21 14:15:00,719.73,754.73,188.682,307.12,76.779,2.4575,1144.23,286.058,179.932,1.5898
baseline,2026-02-21 14:30:00,768.15,803.15,200.787,302.41,75.603,2.6558,1190.13,297.532,192.037,1.5493
baseline,2026-02-21 14:45:00,744.22,779.22,194.805,279.45,69.863,2.7884,1142.16,285.541,186.055,1.5347
baseline,2026-02-21 15:00:00,750.61,785.61,196.402,279.31,69.828,2.8127,1148.7,287.175,187.652,1.5304
baseline,2026-02-21 15:15:00,727.84,762.84,190.711,271.41,67.851,2.8107,1117.0,279.25,181.961,1.5347
baseline,2026-02-21 15:30:00,792.49,827.49,206.874,287.02,71.755,2.8831,1200.18,300.044,198.124,1.5144
baseline,2026-02-21 15:45:00,726.38,761.38,190.346,257.39,64.346,2.9581,1101.46,275.364,181.596,1.5164
baseline,2026-02-21 16:00:00,738.04,773.04,193.261,254.53,63.632,3.0372,1110.78,277.696,184.511,1.505
baseline,2026-02-21 16:15:00,743.99,778.99,194.748,301.88,75.47,2.5805,1164.35,291.088,185.998,1.565
baseline,2026-02-21 16:30:00,771.49,806.49,201.623,291.69,72.923,2.7649,1182.9,295.725,192.873,1.5333
baseline,2026-02-21 16:45:00,718.79,753.79,188.449,285.67,71.417,2.6387,1121.81,280.452,179.699,1.5607
baseline,2026-02-21 17:00:00,733.73,768.73,192.181,280.24,70.06,2.7431,1131.98,282.996,183.431,1.5428
baseline,2026-02-21 17:15:00,738.29,773.29,193.322,279.42,69.854,2.7675,1135.93,283.983,184.572,1.5386
baseline,2026-02-21 17:30:00,721.9,756.9,189.226,309.24,77.309,2.4477,1148.63,287.157,180.476,1.5911
baseline,2026-02-21 17:45:00,752.18,787.18,196.794,261.43,65.358,3.011,1132.46,283.114,188.044,1.5056
baseline,2026-02-21 18:00:00,711.39,746.39,186.597,285.6,71.401,2.6134,1114.01,278.501,177.847,1.566
baseline,2026-02-21 18:15:00,726.5,761.5,190.376,256.61,64.153,2.9675,1100.81,275.202,181.626,1.5152
baseline,2026-02-21 18:30:00,733.76,768.76,192.189,273.3,68.325,2.8128,1125.08,281.269,183.439,1.5333
baseline,2026-02-21 18:45:00,694.73,729.73,182.433,256.48,64.119,2.8452,1067.47,266.868,173.683,1.5365
baseline,2026-02-21 19:00:00,714.79,749.79,187.447,253.45,63.361,2.9584,1085.4,271.35,178.697,1.5185
baseline,2026-02-21 19:15:00,711.79,746.79,186.697,275.52,68.879,2.7105,1104.33,276.084,177.947,1.5515
baseline,2026-02-21 19:30:00,702.58,737.58,184.395,274.07,68.517,2.6912,1093.26,273.316,175.645,1.5561
baseline,2026-02-21 19:45:00,693.41,728.41,182.103,268.45,67.114,2.7134,1078.07,269.518,173.353,1.5547
baseline,2026-02-21 20:00:00,671.53,706.53,176.632,241.98,60.495,2.9198,1028.73,257.181,167.882,1.5319
baseline,2026-02-21 20:15:00,680.35,715.35,178.837,271.95,67.987,2.6304,1067.91,266.978,170.087,1.5697
baseline,2026-02-21 20:30:00,655.64,690.64,172.66,259.51,64.877,2.6614,1029.65,257.413,163.91,1.5704
baseline,2026-02-21 20:45:00,684.37,719.37,179.843,248.26,62.065,2.8976,1048.43,262.107,171.093,1.532
baseline,2026-02-21 21:00:00,705.34,740.34,185.084,251.6,62.899,2.9426,1073.67,268.418,176.334,1.5222
baseline,2026-02-21 21:15:00,686.62,721.62,180.404,230.97,57.742,3.1243,1033.48,258.371,171.654,1.5052
baseline,2026-02-21 21:30:00,679.32,714.32,178.581,255.52,63.881,2.7955,1050.42,262.604,169.831,1.5463
baseline,2026-02-21 21:45:00,624.53,659.53,164.883,222.47,55.618,2.9646,960.11,240.026,156.133,1.5373
baseline,2026-02-21 22:00:00,639.33,674.33,168.582,256.99,64.246,2.624,1010.08,252.521,159.832,1.5799
baseline,2026-02-21 22:15:00,608.45,643.45,160.862,211.75,52.938,3.0387,932.58,233.146,152.112,1.5327
baseline,2026-02-21 22:30:00,619.01,654.01,163.503,205.1,51.276,3.1887,936.97,234.243,154.753,1.5137
baseline,2026-02-21 22:45:00,672.98,707.98,176.995,236.12,59.029,2.9984,1024.38,256.095,168.245,1.5222
baseline,2026-02-21 23:00:00,651.09,686.09,171.522,261.71,65.428,2.6215,1027.1,256.775,162.772,1.5775
baseline,2026-02-21 23:15:00,654.66,689.66,172.416,266.31,66.578,2.5897,1035.44,258.859,163.666,1.5816
baseline,2026-02-21 23:30:00,708.86,743.86,185.965,234.51,58.628,3.1719,1060.27,265.067,177.215,1.4957
baseline,2026-02-21 23:45:00,621.37,656.37,164.092,241.67,60.418,2.7159,976.0,244.001,155.342,1.5707
baseline,2026-02-22 00:00:00,669.16,704.16,176.041,262.31,65.577,2.6845,1046.59,261.646,167.291,1.564
baseline,2026-02-22 00:15:00,637.88,672.88,168.221,241.32,60.329,2.7884,992.91,248.226,159.471,1.5566
baseline,2026-02-22 00:30:00,685.71,720.71,180.178,250.98,62.744,2.8716,1052.55,263.137,171.428,1.535
baseline,2026-02-22 00:45:00,628.76,663.76,165.939,229.05,57.263,2.8978,971.11,242.776,157.189,1.5445
baseline,2026-02-22 01:00:00,612.85,647.85,161.964,224.26,56.064,2.8889,949.69,237.423,153.214,1.5496
baseline,2026-02-22 01:15:00,622.56,657.56,164.391,230.97,57.741,2.847,966.54,241.636,155.641,1.5525
baseline,2026-02-22 01:30:00,663.28,698.28,174.57,275.47,68.868,2.5349,1053.6,263.4,165.82,1.5885
baseline,2026-02-22 01:45:00,628.35,663.35,165.837,259.74,64.934,2.5539,1001.36,250.341,157.087,1.5936
baseline,2026-02-22 02:00:00,621.38,656.38,164.094,231.76,57.939,2.8322,966.09,241.523,155.344,1.5548
baseline,2026-02-22 02:15:00,663.54,698.54,174.636,264.43,66.106,2.6417,1042.83,260.707,165.886,1.5716
baseline,2026-02-22 02:30:00,650.02,685.02,171.254,240.02,60.006,2.8539,1004.29,251.073,162.504,1.545
baseline,2026-02-22 02:45:00,641.77,676.77,169.193,222.91,55.727,3.0361,978.56,244.641,160.443,1.5248
baseline,2026-02-22 03:00:00,657.95,692.95,173.237,225.79,56.447,3.069,998.34,249.586,164.487,1.5174
baseline,2026-02-22 03:15:00,636.07,671.07,167.767,226.67,56.666,2.9606,976.36,244.089,159.017,1.535
baseline,2026-02-22 03:30:00,650.07,685.07,171.268,250.61,62.653,2.7336,1014.94,253.734,162.518,1.5613
baseline,2026-02-22 03:45:00,637.71,672.71,168.177,218.48,54.62,3.079,969.89,242.472,159.427,1.5209
baseline,2026-02-22 04:00:00,639.96,674.96,168.74,246.74,61.686,2.7355,1000.5,250.126,159.99,1.5634
baseline,2026-02-22 04:15:00,640.89,675.89,168.972,238.73,59.683,2.8312,993.46,248.364,160.222,1.5501
baseline,2026-02-22 04:30:00,657.23,692.23,173.057,234.33,58.582,2.9541,1006.13,251.533,164.307,1.5309
baseline,2026-02-22 04:45:00,662.54,697.54,174.385,236.27,59.068,2.9523,1013.63,253.407,165.635,1.5299
baseline,2026-02-22 05:00:00,658.04,,173.26,250.56,62.639,2.766,1023.21,255.802,164.51,1.5549
baseline,2026-02-22 05:15:00,666.88,701.88,175.469,234.53,58.633,2.9927,1016.42,254.105,166.719,1.5241
baseline,2026-02-22 05:30:00,675.62,710.62,177.656,227.19,56.797,3.1279,1018.21,254.553,168.906,1.5071
baseline,2026-02-22 05:45:00,681.35,716.35,179.089,240.45,60.112,2.9793,1037.46,259.366,170.339,1.5226
baseline,2026-02-22 06:00:00,630.5,665.5,166.374,260.17,65.042,2.558,1004.04,251.009,157.624,1.5925
baseline,2026-02-22 06:15:00,637.93,672.93,168.234,266.44,66.61,2.5257,1018.08,254.52,159.484,1.5959
baseline,2026-02-22 06:30:00,685.23,720.23,180.058,238.76,59.689,3.0166,1039.82,259.955,171.308,1.5175
baseline,2026-02-22 06:45:00,647.37,682.37,170.593,248.37,62.092,2.7474,1009.87,252.467,161.843,1.56
baseline,2026-02-22 07:00:00,695.28,730.28,182.569,266.63,66.657,2.7389,1078.19,269.549,173.819,1.5507
baseline,2026-02-22 07:15:00,706.98,741.98,185.495,274.57,68.643,2.7023,1098.37,274.592,176.745,1.5536
baseline,2026-02-22 07:30:00,686.42,721.42,180.355,259.2,64.8,2.7832,1061.51,265.378,171.605,1.5464
baseline,2026-02-22 07:45:00,705.04,740.04,185.01,257.45,64.362,2.8745,1079.21,269.803,176.26,1.5307
baseline,2026-02-22 08:00:00,662.3,697.3,174.325,241.75,60.436,2.8844,1018.85,254.712,165.575,1.5384
baseline,2026-02-22 08:15:00,706.05,741.05,185.262,283.07,70.766,2.6179,1105.88,276.471,176.512,1.5663
baseline,2026-02-22 08:30:00,756.98,791.98,197.996,271.62,67.905,2.9158,1147.67,286.916,189.246,1.5161
baseline,2026-02-22 08:45:00,730.26,765.26,191.315,313.63,78.408,2.44,1161.75,290.438,182.565,1.5909
